stop_id,stop_name,stop_lat,stop_lon,count
at:43:4789,Sigmundsherberg Bahnhof,48.6856492513863,15.7453828413478,72
at:43:4790,Silberwald Bahnhof,48.3282218599248,16.6777532580181,117
at:43:4798,Sitzenberg-Reidling Bahnhof,48.3321994307688,15.8186494359308,39
at:43:4801,Sollenau Bahnhof,47.8982143337121,16.2456456399908,41
at:43:4814,Spillern Bahnhof,48.3758128952215,16.2568566147382,75
at:43:4824,St. Andrä-Wördern Bahnhof,48.333656601292,16.2087248818083,85
at:43:4848,St. Pölten Hauptbahnhof,48.2083253984462,15.6246402839925,372
at:43:4849,St. Veit an der Triesting Bhf.,47.9333391494808,16.1492923426027,35
at:43:4852,Staatz Bahnhof,48.6997442813663,16.4926014947825,54
at:43:4875,Mannswörth Bahnhof,48.1365798084151,16.5074326801253,88
at:43:4881,Stiefern Bahnhof,48.5348940978471,15.6913671433062,67
at:43:4882,Stillfried Bahnhof,48.4112146404766,16.8464389020936,39
at:43:4884,Stockerau Bahnhof,48.3823880890576,16.2132074750767,136
at:43:4922,Strasshof Bahnhof,48.3186827872082,16.635056332558,129
at:43:4975,Tallesbrunn Bahnhof,48.3636507256071,16.7861529633679,39
at:43:4978,Tattendorf Bahnhof,47.9556395128707,16.3060034439392,10
at:43:4983,Teesdorf Bahnhof,47.9427575029492,16.2900313981853,10
at:43:4990,Theresienfeld Bahnhof,47.8603294145247,16.2440556219377,25
at:43:4995,Traiskirchen Aspangbahn,48.0179284035157,16.3033084980864,16
at:43:5005,Traismauer Bahnhof,48.3479454151865,15.745427757112,40
at:43:5006,Trasdorf Bahnhof,48.3151701432754,15.8799774203862,39
at:43:5013,Trautmannsdorf/Leitha Bhf.,48.0241711825343,16.642350652666,87
at:43:5023,Trumau Bahnhof,47.9926491401971,16.3321534018635,10
at:43:5034,Tulln Bahnhof,48.3274454210172,16.06449137977,181
at:43:5057,Tulln Stadt Bahnhof,48.3283233933695,16.0533971860096,55
